Step 1,Step 2,Step 3,Step 4,Link,Size,t,Path,Min or Max,Month/Year
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,3.75,58,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,3.5,59,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,3.25,60,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,3,61,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,2.75,62,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,2.5,63,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,2.25,64,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,2,65,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,1.75,66,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,1.5,67,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,1.25,68,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,1,69,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,0.75,70,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,0.5,71,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,0.25,72,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,0,73,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-0.25,74,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-0.5,75,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-0.75,76,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-1,77,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-1.25,78,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-1.5,79,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-1.75,80,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-2,81,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-2.25,82,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-2.5,83,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-2.75,84,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-3,85,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-3.25,86,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-3.5,87,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-3.75,88,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-4,89,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-4.25,90,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-4.5,91,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-4.75,92,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-5,93,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-5.25,94,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-5.5,95,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-5.75,96,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-6,97,Max,Month
